Heineken Long Neck,drink,A Heineken mais gelada da sua vida!,700
Devassa Litrão,drink,-,750
Budweiser Long Neck,drink,A Bud mais gelada da sua vida!,700
Vodka Nacional - Dose,drink,Escolha entre Smirnoff e Orloff,1700
Tequila - Dose,drink,Tequileiro e Jose Cuervo (Gold ou Prata),1000
Vodka Internacional - Dose,drink,"Escolha entre Ketel One, Absolut ou Grey Goose",1800
Cachaça 51,drink,-,800
Cachaça Germano,drink,-,800
Combo com Redbull,drink,Belvedere,33000
Combo com Redbull,drink,Smirnoff,17000
Combo com Redbull,drink,Absolut,18000
Combo com Redbull,drink,Ketel One,18000
Combo com Redbull,drink,Grey goose,30000
Combo com Redbull,drink,Ciroc,30000
Combo com Refrigerante,drink,Belvedere,31000
Combo com Refrigerante,drink,Smirnoff,15000
Combo com Refrigerante,drink,Absolut,16000
Combo com Refrigerante,drink,Ketel one,16000
Combo com Refrigerante,drink,Grey goose,28000
Combo com Refrigerante,drink,Ciroc,28000
Combo de Gin com Água Tônica,drink,Tanqueray,30000
Drinks Variados,drink,Informe o seu drink nas observações,1900
Água sem gás,drink,-,400
Água com gás,drink,-,400
Narguille,narguile,Essências Variadas (consultar disponibilidade),1800
Batata Rústica,food,Batatas rústicas com pasta de alho,2200
Shawarma,food,Sabores - Carne e frango,1700
Prato Executivo 1,food,"Parmegiana de frango, arroz, farofa e batata frita",2200
Prato Executivo 2,food,"Parmegiana de carne, arroz, farofa e batata frita",2200
Prato Executivo 3,food,"Filé a cavalo, arroz, farofa e batata frita",2200
Prato Executivo 4,food,Macarrão a bolonhesa,2200
Salada,food,Salada com peito de frango,1600
Batata com bacon e cheddar,snack,Batata frita com cheddar cremoso e bacon,2399
Espetinhos 1,snack,"Contra filé, medalhão de frango, coração, coxa de frango, peito de frango, medalhão de porco, lombo de porco, linguiça com frango, linguiça de porco apimentada, linguiça toscana, linguiça calabresa",500
Espetinhos 2,snack,"Alcatra, medalhão de carne, Queijo Provolone",600
Espetinhos 3,snack,Queijo coalho,400
Batata Frita - Porção inteira,snack,Batata frita,2000
Calabresa com cachaça,snack,Calabresas deliciosamente temperadas com cachaça,1500
Batata Frita - Meia porção,snack,Batata frita meia porção,1000
Whisk Jack Daniel's - Dose,drink,-,1500
Whisk Old Parr Silver - Dose,drink,-,1500
Bananinha - Dose,drink,-,1000
Licor 43,drink,-,1200
Cachaça Seleta,drink,-,800
Cachaça Salinas,drink,-,800
Licor Amarula,drink,-,1400
Cachaça Velho Barreiro,drink,-,800
Coca-cola Lata ,drink,-,400
Guaraná Lata,drink,-,400
Fanta Laranja Lata,drink,-,400
Schweppes Lata,drink,-,400